Nashik Road,0
Bytco,4
Datta Mandir,5
Nehru Nagar,7
Gandhi Nagar,9
Bodhale Nagar,10
Dwarka,12
Panchavati Depot Corner,15
Aurangabad Naka,17
K K Wagh,19
Amrut Dham,20
Bali Mandir,21
Jatra Hotel,22
Medical Fata,24
Adgaon,26
Ozar,41
