Nashik Road,0
Bytco,4
Datta Mandir,5
Nehru Nagar,7
Gandhi Nagar,9
Bodhale Nagar,10
Dwarka,12
Wadala Naka,13
Ganjmal,14
Shalimar,15
CBS,17
RK,20
PK,21
Nimani,22
Old Adgaon Naka,24
Panchavati Depot Corner,26
Aurangabad Naka,28
K K Wagh,30
Amrut Dham,31
Bali Mandir,32
Jatra Hotel,33
Medical Fata,35
Adgaon,37
Ozar,52
