Nashik Road,0
Bytco,4
Gymkhana Road,7
Jail Taki,11
Dasak,14
Nandur Naka,16
Nilgiri Bag,17
Kailash Nagar,19
Tapovan,21
Aurangabad Naka,22
Panchavati Depot Corner,24
Old Adgoan Naka,26
Nimani,28
