New CBS,0
CBS,1
RK,4
PK,5
Nimani,6
Old Adgoan Naka,8
Panchavati Depot Corner,10
Aurangabad Naka,12
K K Wagh,14
Amrut Dham,15
Bali Mandir,16
Jatra Hotel,17
Medical Fata,19
Adgaon,21
Ozar,36
